구,longitude,latitude
강남구,127.049555555555,37.514575
강동구,127.125863888888,37.5273666666666
강북구,127.027719444444,37.6369555555555
강서구,126.851675,37.5481555555555
관악구,126.953844444444,37.4753861111111
광진구,127.084533333333,37.5357388888888
구로구,126.889597222222,37.49265
금천구,126.904197222222,37.4491083333333
노원구,127.058388888888,37.6514611111111
도봉구,127.049522222222,37.6658333333333
동대문구,127.042141666666,37.571625
동작구,126.941575,37.5096555555555
마포구,126.910530555555,37.5607055555555
서대문구,126.938897222222,37.5763666666666
서초구,127.034811111111,37.4807861111111
성동구,127.039,37.5606111111111
성북구,127.020333333333,37.5863833333333
송파구,127.107930555555,37.5117555555555
양천구,126.868708333333,37.5142305555555
영등포구,126.898341666666,37.5236111111111
용산구,126.967522222222,37.5360944444444
은평구,126.931241666666,37.5999694444444
종로구,126.981641666666,37.5703777777777
중구,126.999641666666,37.5610027777777
중랑구,127.094777777777,37.6038055555555
서울시,126.97806,37.56667
